gene1	gene2	correlation	p.adjusted
quinolone__QnrS8	ydeI	0.713392298	4.59E-09
quinolone__QnrS9	ydeI	0.713392298	4.59E-09
quinolone__QnrVC3	ydeI	0.713392298	4.59E-09
trimethoprim__DfrA39	ydeI	0.713392298	4.59E-09
trimethoprim__dfrA10	ydeI	0.713392298	4.59E-09
trimethoprim__dfrA13	ydeI	0.713392298	4.59E-09
trimethoprim__dfrA20	ydeI	0.713392298	4.59E-09
trimethoprim__dfrA21	ydeI	0.713392298	4.59E-09
trimethoprim__dfrA23	ydeI	0.713392298	4.59E-09
trimethoprim__dfrA32	ydeI	0.713392298	4.59E-09
trimethoprim__dfrA9	ydeI	0.713392298	4.59E-09
trimethoprim__dfrB1	ydeI	0.713392298	4.59E-09
trimethoprim__dfrF	ydeI	0.713392298	4.59E-09
vancomycin__vanHD	ydeI	0.713392298	4.59E-09
vancomycin__vanHM	ydeI	0.713392298	4.59E-09
vancomycin__vanL	ydeI	0.713392298	4.59E-09
vancomycin__vanUG	ydeI	0.713392298	4.59E-09
vancomycin__vanYG1	ydeI	0.713392298	4.59E-09
vancomycin__vanZA	ydeI	0.713392298	4.59E-09
aminoglycoside__aacA43	yjaA	0.713392298	4.59E-09
aminoglycoside__aadA11	yjaA	0.713392298	4.59E-09
aminoglycoside__aadA2	yjaA	0.713392298	4.59E-09
aminoglycoside__aadA25	yjaA	0.713392298	4.59E-09
aminoglycoside__aadA3	yjaA	0.713392298	4.59E-09
aminoglycoside__aadA8	yjaA	0.713392298	4.59E-09
aminoglycoside__aphA15	yjaA	0.713392298	4.59E-09
beta_lactam__CfxA2	yjaA	0.713392298	4.59E-09
beta_lactam__CfxA3	yjaA	0.713392298	4.59E-09
beta_lactam__CfxA5	yjaA	0.713392298	4.59E-09
beta_lactam__CfxA6	yjaA	0.713392298	4.59E-09
beta_lactam__cepA	yjaA	0.713392298	4.59E-09
beta_lactam__cphA5	yjaA	0.713392298	4.59E-09
beta_lactam__cphA8	yjaA	0.713392298	4.59E-09
beta_lactam__imiH	yjaA	0.713392298	4.59E-09
beta_lactam__mreA	yjaA	0.713392298	4.59E-09
chloramphenicol__catS	yjaA	0.713392298	4.59E-09
chloramphenicol__cmlA1	yjaA	0.713392298	4.59E-09
chloramphenicol__cmlA6	yjaA	0.713392298	4.59E-09
chloramphenicol__cmlB	yjaA	0.713392298	4.59E-09
chloramphenicol__pexA	yjaA	0.713392298	4.59E-09
fosfomycin__FosA2	yjaA	0.713392298	4.59E-09
multidrug__hmrM	yjaA	0.713392298	4.59E-09
multidrug__hp1181	yjaA	0.713392298	4.59E-09
multidrug__mefJ	yjaA	0.713392298	4.59E-09
quinolone__QnrB12	yjaA	0.713392298	4.59E-09
quinolone__QnrB3	yjaA	0.713392298	4.59E-09
quinolone__QnrB54	yjaA	0.713392298	4.59E-09
quinolone__QnrB56	yjaA	0.713392298	4.59E-09
quinolone__QnrB59	yjaA	0.713392298	4.59E-09
quinolone__QnrB74	yjaA	0.713392298	4.59E-09
quinolone__QnrS11	yjaA	0.713392298	4.59E-09
quinolone__QnrS15	yjaA	0.713392298	4.59E-09
quinolone__QnrS5	yjaA	0.713392298	4.59E-09
quinolone__QnrS6	yjaA	0.713392298	4.59E-09
quinolone__QnrS8	yjaA	0.713392298	4.59E-09
quinolone__QnrS9	yjaA	0.713392298	4.59E-09
quinolone__QnrVC3	yjaA	0.713392298	4.59E-09
trimethoprim__DfrA39	yjaA	0.713392298	4.59E-09
trimethoprim__dfrA10	yjaA	0.713392298	4.59E-09
trimethoprim__dfrA13	yjaA	0.713392298	4.59E-09
trimethoprim__dfrA20	yjaA	0.713392298	4.59E-09
trimethoprim__dfrA21	yjaA	0.713392298	4.59E-09
trimethoprim__dfrA23	yjaA	0.713392298	4.59E-09
trimethoprim__dfrA32	yjaA	0.713392298	4.59E-09
trimethoprim__dfrA9	yjaA	0.713392298	4.59E-09
trimethoprim__dfrB1	yjaA	0.713392298	4.59E-09
trimethoprim__dfrF	yjaA	0.713392298	4.59E-09
vancomycin__vanHD	yjaA	0.713392298	4.59E-09
vancomycin__vanHM	yjaA	0.713392298	4.59E-09
vancomycin__vanL	yjaA	0.713392298	4.59E-09
vancomycin__vanUG	yjaA	0.713392298	4.59E-09
vancomycin__vanYG1	yjaA	0.713392298	4.59E-09
vancomycin__vanZA	yjaA	0.713392298	4.59E-09
aminoglycoside__aadA4	zevB	0.713392298	4.59E-09
aminoglycoside__aadA8b	zevB	0.713392298	4.59E-09
beta_lactam__blaC	zevB	0.713392298	4.59E-09
beta_lactam__blaS1	zevB	0.713392298	4.59E-09
beta_lactam__cphA7	zevB	0.713392298	4.59E-09
chloramphenicol__catQ	zevB	0.713392298	4.59E-09
chloramphenicol__cmlA4	zevB	0.713392298	4.59E-09
chloramphenicol__cmlA5	zevB	0.713392298	4.59E-09
quinolone__QnrB19	zevB	0.713392298	4.59E-09
quinolone__QnrB5	zevB	0.713392298	4.59E-09
quinolone__QnrS2	zevB	0.713392298	4.59E-09
trimethoprim__dfrA18	zevB	0.713392298	4.59E-09
trimethoprim__dfrA35	zevB	0.713392298	4.59E-09
trimethoprim__dfrA5	zevB	0.713392298	4.59E-09
vancomycin__vanE	zevB	0.713392298	4.59E-09
vancomycin__vanH_in_vanP_cl	zevB	0.713392298	4.59E-09
chloramphenicol__catIII	zraP	0.713392298	4.59E-09
troA	vancomycin__vanA	0.71363114	4.59E-09
bacitracin__bacA	chrA	0.713746543	4.59E-09
nikC	other_peptide_antibiotics__ArnT	0.713752665	4.59E-09
multidrug__mdtM	robA	0.71405381	4.59E-09
hoxN	tetracycline__tetA	0.714130185	4.59E-09
trimethoprim__dfrA22	vmeA	0.714250564	4.59E-09
vancomycin__vanHO	vmeA	0.714250564	4.59E-09
cutA	multidrug__emrD	0.714336589	4.59E-09
marA	multidrug__emrD	0.714336589	4.59E-09
fosfomycin__FosL1	mntR	0.714603895	4.59E-09
fosfomycin__FosA	mepC	0.714746485	4.59E-09
emhR	quinolone__lfrA	0.715088013	4.59E-09
dsbC	quinolone__norB	0.715331207	4.59E-09
quinolone__norB	smfY	0.715720693	4.54E-09
beta_lactam__Rm3	fptA	0.715738328	4.53E-09
multidrug__qacE	nikB	0.715907538	4.47E-09
multidrug__blt	robA	0.715986288	4.44E-09
fecD	quinolone__lfrA	0.716420917	4.28E-09
emrRsm	quinolone__lfrA	0.716677607	4.19E-09
hasF	quinolone__lfrA	0.716677607	4.19E-09
kpnF	quinolone__lfrA	0.716677607	4.19E-09
mdtA	quinolone__lfrA	0.716677607	4.19E-09
quinolone__lfrA	ygiW	0.716677607	4.19E-09
aminoglycoside__aadA27	modE	0.716780607	4.16E-09
mexT	multidrug__PmpM	0.71690689	4.12E-09
chloramphenicol__cmx	hefC	0.717190986	4.02E-09
farA	multidrug__abeM	0.717290754	3.99E-09
chloramphenicol__cmx	emrRsm	0.717447676	3.94E-09
chloramphenicol__cmx	gadX	0.717447676	3.94E-09
chloramphenicol__cmx	hasF	0.717447676	3.94E-09
chloramphenicol__cmx	kpnF	0.717447676	3.94E-09
chloramphenicol__cmx	mdtA	0.717447676	3.94E-09
hefC	quinolone__lfrA	0.717447676	3.94E-09
pcm	rifamycin__rgt1438	0.717447676	3.94E-09
chloramphenicol__cmx	ygiW	0.717447676	3.94E-09
rifamycin__iri	zipB	0.717461048	3.93E-09
aminoglycoside__aadA27	corD	0.717829393	3.82E-09
G2alt	fosfomycin__FosB	0.717908099	3.79E-09
chloramphenicol__cmx	fecD	0.717961055	3.78E-09
gadX	quinolone__lfrA	0.717961055	3.78E-09
rifamycin__iri	terE	0.718207851	3.70E-09
hoxN	vancomycin__vanA	0.718253547	3.69E-09
multidrug__abeS	ttgF	0.718474435	3.62E-09
pcoB	vancomycin__vanA	0.718474435	3.62E-09
actA	vancomycin__vanC	0.718748884	3.54E-09
chrR	mupirocin__mupB	0.718878218	3.50E-09
beta_lactam__imiS	tehB	0.718962171	3.48E-09
dsbB	multidrug__qacE	0.719101124	3.44E-09
fecD	multidrug__qacE	0.719101124	3.44E-09
terA	trimethoprim__DfrA43_TMP	0.719101124	3.44E-09
aminoglycoside__aadA7	nikR	0.719104677	3.44E-09
furA	rifamycin__iri	0.719115972	3.43E-09
dsbC	multidrug__emrD	0.719226073	3.40E-09
quinolone__qepA	ybtP	0.71923084	3.40E-09
fosfomycin__FosA7	irlS	0.719385211	3.36E-09
multidrug__qacE	pcoE	0.719385211	3.36E-09
aminoglycoside__aadA4	tbtA	0.719385211	3.36E-09
beta_lactam__blaS1	tbtA	0.719385211	3.36E-09
beta_lactam__cphA7	tbtA	0.719385211	3.36E-09
chloramphenicol__catQ	tbtA	0.719385211	3.36E-09
chloramphenicol__cmlA4	tbtA	0.719385211	3.36E-09
chloramphenicol__cmlA5	tbtA	0.719385211	3.36E-09
quinolone__QnrB19	tbtA	0.719385211	3.36E-09
quinolone__QnrB5	tbtA	0.719385211	3.36E-09
tbtA	trimethoprim__dfrA18	0.719385211	3.36E-09
irlS	trimethoprim__dfrA26	0.719385211	3.36E-09
tbtA	trimethoprim__dfrA5	0.719385211	3.36E-09
tbtA	vancomycin__vanE	0.719385211	3.36E-09
adeD	vancomycin__vanYB	0.719385211	3.36E-09
fecD	vancomycin__vanYB	0.719385211	3.36E-09
fosfomycin__FosC2	tehA	0.719431593	3.35E-09
beta_lactam__imiS	csoR	0.719501193	3.33E-09
bexA	fosfomycin__FosA7	0.719762062	3.26E-09
fosfomycin__FosC2	marR	0.719762062	3.26E-09
bepF	multidrug__qacE	0.719762062	3.26E-09
fosfomycin__FosC2	terW	0.719762062	3.26E-09
bexA	trimethoprim__dfrA26	0.719762062	3.26E-09
fosfomycin__FosC2	yodD	0.719762062	3.26E-09
beta_lactam__blaZ	mreA	0.71981575	3.25E-09
beta_lactam__CfxA4	bexA	0.719844295	3.24E-09
beta_lactam__Bla2	marR	0.719844295	3.24E-09
aminoglycoside__aadA16	tbtA	0.719844295	3.24E-09
chloramphenicol__catII	tbtA	0.719844295	3.24E-09
chloramphenicol__cmlB1	tbtA	0.719844295	3.24E-09
fosfomycin__FosA4	tbtA	0.719844295	3.24E-09
multidrug__CrcB	tbtA	0.719844295	3.24E-09
multidrug__efmA	tbtA	0.719844295	3.24E-09
quinolone__QnrB21	tbtA	0.719844295	3.24E-09
quinolone__QnrB25	tbtA	0.719844295	3.24E-09
quinolone__QnrB27	tbtA	0.719844295	3.24E-09
quinolone__QnrB28	tbtA	0.719844295	3.24E-09
quinolone__QnrB30	tbtA	0.719844295	3.24E-09
quinolone__QnrB33	tbtA	0.719844295	3.24E-09
quinolone__QnrB35	tbtA	0.719844295	3.24E-09
quinolone__QnrB37	tbtA	0.719844295	3.24E-09
quinolone__QnrB4	tbtA	0.719844295	3.24E-09
quinolone__QnrB60	tbtA	0.719844295	3.24E-09
quinolone__QnrB61	tbtA	0.719844295	3.24E-09
quinolone__QnrB65	tbtA	0.719844295	3.24E-09
quinolone__QnrB71	tbtA	0.719844295	3.24E-09
quinolone__QnrB72	tbtA	0.719844295	3.24E-09
quinolone__QnrB73	tbtA	0.719844295	3.24E-09
quinolone__QnrB8	tbtA	0.719844295	3.24E-09
quinolone__QnrD1	tbtA	0.719844295	3.24E-09
quinolone__QnrD2	tbtA	0.719844295	3.24E-09
quinolone__QnrS3	tbtA	0.719844295	3.24E-09
quinolone__QnrS7	tbtA	0.719844295	3.24E-09
pcoC	trimethoprim__dfrA8	0.719844295	3.24E-09
nccB	trimethoprim__dfrB5	0.719844295	3.24E-09
tbtA	vancomycin__vanTG	0.719844295	3.24E-09
ctpD	tetracycline__tetX1	0.720030747	3.20E-09
beta_lactam__imiS	emrRsm	0.720092531	3.18E-09
beta_lactam__imiS	hasF	0.720092531	3.18E-09
beta_lactam__imiS	kpnF	0.720092531	3.18E-09
beta_lactam__imiS	mdtA	0.720092531	3.18E-09
fecD	rifamycin__rgt1438	0.720092531	3.18E-09
fosfomycin__FosA7	tehA	0.720092531	3.18E-09
emrRsm	trimethoprim__dfrA1	0.720092531	3.18E-09
hasF	trimethoprim__dfrA1	0.720092531	3.18E-09
kpnF	trimethoprim__dfrA1	0.720092531	3.18E-09
mdtA	trimethoprim__dfrA1	0.720092531	3.18E-09
tehA	trimethoprim__dfrA26	0.720092531	3.18E-09
emrRsm	vancomycin__vanA	0.720092531	3.18E-09
hasF	vancomycin__vanA	0.720092531	3.18E-09
kpnF	vancomycin__vanA	0.720092531	3.18E-09
mdtA	vancomycin__vanA	0.720092531	3.18E-09
emrRsm	vancomycin__vanD	0.720092531	3.18E-09
hasF	vancomycin__vanD	0.720092531	3.18E-09
kpnF	vancomycin__vanD	0.720092531	3.18E-09
mdtA	vancomycin__vanD	0.720092531	3.18E-09
beta_lactam__imiS	ygiW	0.720092531	3.18E-09
trimethoprim__dfrA1	ygiW	0.720092531	3.18E-09
vancomycin__vanA	ygiW	0.720092531	3.18E-09
vancomycin__vanD	ygiW	0.720092531	3.18E-09
multidrug__emrD	phoR	0.720160841	3.17E-09
cmtR	fosfomycin__FosA7	0.72075347	3.02E-09
fosfomycin__FosA7	gadX	0.72075347	3.02E-09
beta_lactam__imiS	hefC	0.72075347	3.02E-09
fosfomycin__FosC2	hupE2	0.72075347	3.02E-09
fosfomycin__FosC2	lde	0.72075347	3.02E-09
multidrug__qacE	nccB	0.72075347	3.02E-09
hefC	trimethoprim__dfrA1	0.72075347	3.02E-09
cmtR	trimethoprim__dfrA26	0.72075347	3.02E-09
gadX	trimethoprim__dfrA26	0.72075347	3.02E-09
hefC	vancomycin__vanA	0.72075347	3.02E-09
hefC	vancomycin__vanD	0.72075347	3.02E-09
chloramphenicol__catB3	cinA	0.720859986	2.99E-09
beta_lactam__BcII	fecD	0.721083939	2.94E-09
bexA	fosfomycin__FosC2	0.721083939	2.94E-09
fosfomycin__FosA7	marR	0.721083939	2.94E-09
dsbB	multidrug__mepA	0.721083939	2.94E-09
fosfomycin__FosA7	terW	0.721083939	2.94E-09
marR	trimethoprim__dfrA26	0.721083939	2.94E-09
terW	trimethoprim__dfrA26	0.721083939	2.94E-09
fosfomycin__FosA7	yodD	0.721083939	2.94E-09
trimethoprim__dfrA26	yodD	0.721083939	2.94E-09
chloramphenicol__cmx	ttgC	0.721353265	2.87E-09
cmtR	fosfomycin__FosC2	0.721414408	2.86E-09
fosfomycin__FosC2	gadX	0.721414408	2.86E-09
fosfomycin__FosA7	hupE2	0.721414408	2.86E-09
fosfomycin__FosA7	lde	0.721414408	2.86E-09
hupE2	trimethoprim__dfrA26	0.721414408	2.86E-09
lde	trimethoprim__dfrA26	0.721414408	2.86E-09
pcoC	vancomycin__vanF	0.721414408	2.86E-09
chloramphenicol__cmx	cusB	0.721541485	2.83E-09
mtrD	quinolone__qepA	0.721552507	2.83E-09
adeT1	multidrug__ParS	0.721665667	2.80E-09
cmtR	rifamycin__rgt1438	0.722075347	2.71E-09
cmtR	vancomycin__vanF	0.722075347	2.71E-09
dmeF	quinolone__qepA	0.722082063	2.71E-09
cadR	multidrug__abcA	0.722253883	2.67E-09
hmrR	multidrug__ParS	0.722406489	2.63E-09
chloramphenicol__catB3	pcoS	0.722429318	2.63E-09
aminoglycoside__aadA27	soxS	0.722576088	2.60E-09
nirC	vancomycin__vanO	0.722670805	2.57E-09
mctB	vancomycin__vanB	0.722803423	2.55E-09
hmrR	rifamycin__iri	0.723348442	2.43E-09
mreA	multidrug__abeS	0.723550341	2.39E-09
chrB	quinolone__qepA	0.723599334	2.38E-09
cinA	multidrug__tap	0.723952219	2.31E-09
beta_lactam__blaF	mmco	0.723977152	2.31E-09
adeK	aminoglycoside__aadA27	0.724106969	2.28E-09
multidrug__tap	ricR	0.724140432	2.27E-09
mmco	multidrug__qacE	0.724378297	2.23E-09
dsbC	sulfonamide__sul2	0.724599761	2.19E-09
beta_lactam__blaF	kpnO	0.724617367	2.18E-09
multidrug__tap	pcoB	0.724698777	2.17E-09
chloramphenicol__cmx	cutA	0.724830773	2.15E-09
chloramphenicol__cmx	marA	0.724830773	2.15E-09
multidrug__abeS	nccB	0.724891677	2.13E-09
chloramphenicol__cmx	ttgR	0.724891677	2.13E-09
beta_lactam__imiS	nikB	0.725148366	2.09E-09
adeE	quinolone__qepA	0.725216357	2.08E-09
aminoglycoside__aadA7	sitD	0.725478677	2.03E-09
mepC	multidrug__ParS	0.72561386	2.01E-09
beta_lactam__blaZ	marR	0.725661746	2.00E-09
chloramphenicol__cmx	tehA	0.725661746	2.00E-09
ncrB	trimethoprim__dfrA26	0.725661746	2.00E-09
cmeB	rifamycin__iri	0.72568395	2.00E-09
hoxN	vancomycin__vanF	0.725697919	1.99E-09
beta_lactam__Rm3	mmco	0.725791096	1.98E-09
pcoB	rifamycin__rgt1438	0.725918435	1.96E-09
cinA	other_peptide_antibiotics__ArnT	0.726012793	1.94E-09
beta_lactam__mecA	nikD	0.72615127	1.92E-09
fosfomycin__FosC2	ncrB	0.726175125	1.91E-09
beta_lactam__BcII	nikE	0.726175125	1.91E-09
beta_lactam__Rm3	emrCsm	0.726431312	1.87E-09
multidrug__qacE	pcoB	0.726431815	1.87E-09
multidrug__qacB	qacR	0.72646569	1.87E-09
polymyxin__eptA	soxR	0.726704576	1.83E-09
cusB	quinolone__lfrA	0.726999866	1.79E-09
nccX	tetracycline__tetX1	0.727042581	1.78E-09
quinolone__lfrA	ttgC	0.727376306	1.73E-09
iclR	tetracycline__tetA	0.727556881	1.70E-09
copM	multidrug__abeS	0.727925148	1.65E-09
emrRsm	multidrug__qacE	0.728354263	1.59E-09
hasF	multidrug__qacE	0.728354263	1.59E-09
kpnF	multidrug__qacE	0.728354263	1.59E-09
mdtA	multidrug__qacE	0.728354263	1.59E-09
multidrug__qacE	ygiW	0.728354263	1.59E-09
dsbB	fosfomycin__FosC2	0.728684732	1.54E-09
fecD	fosfomycin__FosC2	0.728684732	1.54E-09
hefC	multidrug__qacE	0.728684732	1.54E-09
pmrC	tetracycline__tetX1	0.728849249	1.52E-09
cpxA	multidrug__mdtL	0.72888407	1.52E-09
aioE	quinolone__QnrE1	0.728898708	1.52E-09
fosfomycin__FosA3	tbtM	0.728898708	1.52E-09
multidrug__lmrP	tbtM	0.728898708	1.52E-09
tbtM	vancomycin__vanHB	0.728898708	1.52E-09
tbtA	trimethoprim__DfrA43_TMP	0.729015202	1.50E-09
adeC	aminoglycoside__aadA27	0.729240032	1.47E-09
adeN	beta_lactam__CepS	0.729240032	1.47E-09
adeN	beta_lactam__cphA2	0.729240032	1.47E-09
beta_lactam__CepS	kmrA	0.729240032	1.47E-09
beta_lactam__cphA2	kmrA	0.729240032	1.47E-09
beta_lactam__CepS	kpnE	0.729240032	1.47E-09
beta_lactam__cphA2	kpnE	0.729240032	1.47E-09
cnrB	quinolone__QnrE1	0.729240032	1.47E-09
adeT2	trimethoprim__dfrA22	0.729240032	1.47E-09
pmrB	trimethoprim__dfrA22	0.729240032	1.47E-09
triC	trimethoprim__dfrA22	0.729240032	1.47E-09
adeN	vancomycin__vanN	0.729240032	1.47E-09
kmrA	vancomycin__vanN	0.729240032	1.47E-09
kpnE	vancomycin__vanN	0.729240032	1.47E-09
beta_lactam__CepS	ychH	0.729240032	1.47E-09
beta_lactam__cphA2	ychH	0.729240032	1.47E-09
vancomycin__vanN	ychH	0.729240032	1.47E-09
beta_lactam__imiS	terA	0.729345671	1.46E-09
terA	trimethoprim__dfrA1	0.729345671	1.46E-09
beta_lactam__imiS	ttgF	0.729345671	1.46E-09
trimethoprim__dfrA1	ttgF	0.729345671	1.46E-09
terA	vancomycin__vanA	0.729345671	1.46E-09
ttgF	vancomycin__vanA	0.729345671	1.46E-09
ttgF	vancomycin__vanD	0.729345671	1.46E-09
adeN	chloramphenicol__catB10	0.729922682	1.39E-09
arrB	fosfomycin__FosA	0.729922682	1.39E-09
adeT2	fosfomycin__FosL1	0.729922682	1.39E-09
bcrA	fosfomycin__FosL1	0.729922682	1.39E-09
chloramphenicol__catB10	kmrA	0.729922682	1.39E-09
chloramphenicol__catB10	kpnE	0.729922682	1.39E-09
fosfomycin__FosL1	mtrR	0.729922682	1.39E-09
fosfomycin__FosL1	pmrB	0.729922682	1.39E-09
adeN	quinolone__QnrB20	0.729922682	1.39E-09
kmrA	quinolone__QnrB20	0.729922682	1.39E-09
kpnE	quinolone__QnrB20	0.729922682	1.39E-09
fosfomycin__FosL1	triC	0.729922682	1.39E-09
fbpB	trimethoprim__dfrA22	0.729922682	1.39E-09
frnE	trimethoprim__dfrA22	0.729922682	1.39E-09
nixA	trimethoprim__dfrA22	0.729922682	1.39E-09
srpA	trimethoprim__dfrA22	0.729922682	1.39E-09
pfr	vancomycin__vanHO	0.729922682	1.39E-09
adeN	vancomycin__vanYM	0.729922682	1.39E-09
kmrA	vancomycin__vanYM	0.729922682	1.39E-09
kpnE	vancomycin__vanYM	0.729922682	1.39E-09
chloramphenicol__catB10	ychH	0.729922682	1.39E-09
quinolone__QnrB20	ychH	0.729922682	1.39E-09
vancomycin__vanYM	ychH	0.729922682	1.39E-09
trimethoprim__dfrA22	yhcN	0.729922682	1.39E-09
cutA	quinolone__lfrA	0.729952497	1.39E-09
marA	quinolone__lfrA	0.729952497	1.39E-09
multidrug__qacE	oprJ	0.730006609	1.39E-09
tehA	vancomycin__vanF	0.730006609	1.39E-09
mctB	vancomycin__vanD	0.73002547	1.38E-09
quinolone__qepA	terD	0.730128523	1.37E-09
fbpB	fosfomycin__FosL1	0.730264006	1.36E-09
aminoglycoside__aadA10	fptA	0.730264006	1.36E-09
aminoglycoside__aadA5	fptA	0.730264006	1.36E-09
fosfomycin__FosL1	frnE	0.730264006	1.36E-09
fosfomycin__FosL1	nixA	0.730264006	1.36E-09
adeN	quinolone__QnrE2	0.730264006	1.36E-09
kmrA	quinolone__QnrE2	0.730264006	1.36E-09
kpnE	quinolone__QnrE2	0.730264006	1.36E-09
fosfomycin__FosL1	srpA	0.730264006	1.36E-09
bcrA	trimethoprim__dfrA22	0.730264006	1.36E-09
mtrR	trimethoprim__dfrA22	0.730264006	1.36E-09
mexX	vancomycin__vanI	0.730264006	1.36E-09
quinolone__QnrE2	ychH	0.730264006	1.36E-09
fosfomycin__FosL1	yhcN	0.730264006	1.36E-09
quinolone__lfrA	silC	0.730379308	1.35E-09
florfenicol__floR	pcoB	0.730400774	1.34E-09
chloramphenicol__cmx	mepC	0.73048601	1.33E-09
dsbB	fosfomycin__FosA7	0.730667548	1.31E-09
fecD	fosfomycin__FosA7	0.730667548	1.31E-09
fosfomycin__FosA7	nccB	0.730667548	1.31E-09
dsbB	trimethoprim__dfrA26	0.730667548	1.31E-09
fecD	trimethoprim__dfrA26	0.730667548	1.31E-09
nccB	trimethoprim__dfrA26	0.730667548	1.31E-09
fosfomycin__FosC2	ttgR	0.730667548	1.31E-09
cnrB	multidrug__abeM	0.730731385	1.31E-09
fosfomycin__FosA7	mctB	0.73079554	1.30E-09
beta_lactam__blaZ	nikD	0.731019523	1.27E-09
beta_lactam__blaF	hoxN	0.73126938	1.25E-09
beta_lactam__BcII	copL	0.731328486	1.24E-09
bepF	fosfomycin__FosA7	0.731328486	1.24E-09
beta_lactam__BcII	marR	0.731328486	1.24E-09
marR	multidrug__mepA	0.731328486	1.24E-09
fosfomycin__FosC2	nccB	0.731328486	1.24E-09
fosfomycin__FosA7	ttgR	0.731328486	1.24E-09
trimethoprim__dfrA26	ttgR	0.731328486	1.24E-09
cuiD	multidrug__mdtH	0.731402612	1.23E-09
multidrug__ParS	nikR	0.731696212	1.20E-09
fosfomycin__FosB	smfY	0.73169865	1.20E-09
pcm	vancomycin__vanXO	0.731766442	1.19E-09
tbtB	vancomycin__vanXI	0.731870725	1.18E-09
multidrug__abeS	nirB	0.732458247	1.12E-09
beta_lactam__imiS	nikE	0.732592367	1.11E-09
multidrug__pmrA	pcoB	0.732620062	1.11E-09
adeA	multidrug__tap	0.733152891	1.06E-09
cmtR	quinolone__lfrA	0.733362436	1.04E-09
beta_lactam__Bla1	yfmP	0.733362436	1.04E-09
beta_lactam__y56	hoxN	0.733587955	1.02E-09
beta_lactam__BcII	nikB	0.733619126	1.01E-09
csoR	multidrug__mepA	0.734132505	9.69E-10
chloramphenicol__catB11	vmeA	0.734335374	9.52E-10
multidrug__tap	qacF	0.734348411	9.51E-10
emhA	multidrug__ParS	0.734492863	9.38E-10
chrR	quinolone__qepA	0.734797123	9.13E-10
aminoglycoside__aadA27	cueO	0.735041837	8.94E-10
multidrug__bmr	robA	0.735575177	8.52E-10
beta_lactam__blaF	emrCsm	0.736568059	7.80E-10
cinA	vancomycin__vanC	0.736791416	7.64E-10
aminoglycoside__aadA27	oscA	0.737042854	7.47E-10
aminoglycoside__aadA27	smeD	0.737042854	7.47E-10
multidrug__abeS	pcoS	0.737208274	7.36E-10
chrB1	vancomycin__vanC	0.737228811	7.35E-10
chloramphenicol__cmx	nikR	0.73784849	6.95E-10
multidrug__blt	oprN	0.737884903	6.93E-10
mepC	quinolone__lfrA	0.737955193	6.89E-10
mepC	multidrug__mdtL	0.73804246	6.83E-10
aminoglycoside__aadS	nikB	0.738168598	6.75E-10
beta_lactam__Rm3	nikB	0.738168598	6.75E-10
multidrug__abeS	ybtQ	0.738195525	6.74E-10
multidrug__qacE	terA	0.738268341	6.69E-10
multidrug__qacE	ttgF	0.738268341	6.69E-10
emrRsm	fosfomycin__FosC2	0.73859881	6.50E-10
fosfomycin__FosC2	hasF	0.73859881	6.50E-10
fosfomycin__FosC2	kpnF	0.73859881	6.50E-10
fosfomycin__FosC2	mdtA	0.73859881	6.50E-10
fosfomycin__FosC2	ygiW	0.73859881	6.50E-10
aminoglycoside__aadA14	qacF	0.738626459	6.48E-10
beta_lactam__BcIII	qacF	0.738626459	6.48E-10
beta_lactam__CepS	terB	0.738626459	6.48E-10
beta_lactam__cphA2	terB	0.738626459	6.48E-10
terB	vancomycin__vanN	0.738626459	6.48E-10
multidrug__qacE	nirC	0.73875292	6.42E-10
aminoglycoside__aadA7	phoB	0.738917726	6.32E-10
chloramphenicol__catB3	kpnO	0.738951838	6.30E-10
adeT2	aminoglycoside__aadA27	0.738967784	6.29E-10
aminoglycoside__aadA27	pmrB	0.738967784	6.29E-10
cnrB	quinolone__QnrE2	0.738967784	6.29E-10
aminoglycoside__aadA27	triC	0.738967784	6.29E-10
multidrug__abeS	tbtB	0.739140058	6.20E-10
kpnO	other_peptide_antibiotics__ArnT	0.739328278	6.10E-10
quinolone__lfrA	tehA	0.739522989	5.99E-10
fosfomycin__FosC2	hefC	0.739590218	5.95E-10
adeA	aminoglycoside__aadA14	0.739650433	5.92E-10
adeA	beta_lactam__BcIII	0.739650433	5.92E-10
adeC	fosfomycin__FosL1	0.739650433	5.92E-10
chloramphenicol__catB10	terB	0.739650433	5.92E-10
quinolone__QnrB20	terB	0.739650433	5.92E-10
adeT2	vancomycin__vanHO	0.739650433	5.92E-10
pmrB	vancomycin__vanHO	0.739650433	5.92E-10
triC	vancomycin__vanHO	0.739650433	5.92E-10
terB	vancomycin__vanYM	0.739650433	5.92E-10
multidrug__blt	yqjH	0.739650433	5.92E-10
pcm	vancomycin__vanA	0.739779679	5.86E-10
vancomycin__vanB	yfmO	0.739935601	5.78E-10
chloramphenicol__catB10	cnrB	0.739991758	5.75E-10
aminoglycoside__aadA27	fbpB	0.739991758	5.75E-10
aminoglycoside__aadA27	frnE	0.739991758	5.75E-10
aminoglycoside__aadA6	kpnE	0.739991758	5.75E-10
aminoglycoside__aadA27	nixA	0.739991758	5.75E-10
cnrB	quinolone__QnrB20	0.739991758	5.75E-10
aminoglycoside__aadA27	srpA	0.739991758	5.75E-10
fosfomycin__FosA3	terZ	0.739991758	5.75E-10
